CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
7238,11,28,1-11-2017-028-04,4,1,270,469,188,1569,163,93,106,999,4,2,9,9,9,0,6303.98203629516000000000,8,2
7238,11,28,1-11-2017-028-04,4,2,278,481,182,1500,157,96,107,999,4,2,2,9,0,0,6303.98203629516000000000,8,2
7238,11,28,1-11-2017-028-04,4,3,264,459,180,1538,999,999,999,999,4,3,9,9,9,0,6303.98203629516000000000,8,2
7288,11,29,1-11-2017-029-06,6,1,250,445,171,1126,144,97,99,999,4,2,9,9,9,0,6809.55000197747000000000,8,2
7288,11,29,1-11-2017-029-06,6,2,280,484,183,1454,158,97,108,999,4,2,9,9,9,0,6809.55000197747000000000,8,2
7309,11,30,1-11-2017-030-05,5,1,263,448,176,1440,149,93,93,999,4,2,2,9,0,0,219.81276137336800000000,8,2
7309,11,30,1-11-2017-030-05,5,2,278,482,180,1429,153,96,110,999,4,3,2,9,0,0,219.81276137336800000000,8,2
7310,11,31,1-11-2017-031-07,7,1,264,464,172,1214,146,101,99,999,4,2,9,9,0,0,6275.10787317042000000000,8,2
7310,11,31,1-11-2017-031-07,7,2,280,493,185,1523,157,100,114,147,6,4,2,1,0,0,6275.10787317042000000000,8,2
7395,11,33,1-11-2017-033-01,1,1,268,454,173,1762,151,83,105,999,6,3,9,9,9,0,136.87480803214500000000,8,2
7395,11,33,1-11-2017-033-01,1,2,353,563,201,2107,999,100,110,999,6,3,9,9,9,0,136.87480803214500000000,8,2
7395,11,33,1-11-2017-033-01,1,3,274,481,182,1389,157,98,109,999,4,2,9,9,9,0,136.87480803214500000000,8,2
7412,11,34,1-11-2017-034-03,3,1,264,460,180,1498,155,96,100,999,4,3,9,9,0,0,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,2,262,453,182,1500,156,92,100,999,4,2,9,9,0,0,5482.36530536070000000000,8,2
7413,11,35,1-11-2017-035-01,1,1,270,453,178,1265,156,87,97,999,4,2,2,1,0,0,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,2,271,459,188,2024,158,84,105,999,6,3,2,1,0,0,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,3,272,481,179,1570,156,94,115,999,6,4,2,1,0,0,473.93014835835700000000,8,2
7569,11,36,1-11-2017-036-09,9,1,289,481,183,1984,155,82,112,999,6,4,9,9,9,0,10440.44599433350000000000,8,2
7569,11,36,1-11-2017-036-09,9,2,282,500,183,1780,157,90,126,999,8,4,9,9,9,0,10440.44599433350000000000,8,2
7570,11,37,1-11-2017-037-02,2,1,277,486,183,1451,158,97,112,147,4,3,2,1,0,0,148.71630109271600000000,8,2
7642,11,38,1-11-2017-038-03,3,1,255,400,170,1132,145,81,64,999,4,2,9,9,9,0,2849.41052148348000000000,8,2
