CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTEGRITY,CASEWGT,PSUSTRAT,VERSION
7075,13,46,1-13-2017-046-03,3,2,7,1011.50000000000000000000,7,2
7076,13,47,1-13-2017-047-03,3,1,0,1011.50000000000000000000,7,2
7076,13,47,1-13-2017-047-03,3,2,0,1011.50000000000000000000,7,2
7123,13,48,1-13-2017-048-04,4,2,0,2521.50000000000000000000,7,2
7124,13,49,1-13-2017-049-06,6,2,0,1399.25000000000000000000,7,2
7125,13,50,1-13-2017-050-04,4,1,0,2521.50000000000000000000,7,2
7125,13,50,1-13-2017-050-04,4,2,0,2521.50000000000000000000,7,2
7180,13,51,1-13-2017-051-02,2,1,0,223.84375000000000000000,7,2
7218,13,52,1-13-2017-052-06,6,1,0,5045.00000000000000000000,7,2
7218,13,52,1-13-2017-052-06,6,2,0,5045.00000000000000000000,7,2
7281,13,53,1-13-2017-053-03,3,1,6,931.12500000000000000000,7,2
7281,13,53,1-13-2017-053-03,3,2,9,931.12500000000000000000,7,2
7267,13,54,1-13-2017-054-03,3,1,9,931.12500000000000000000,7,2
7267,13,54,1-13-2017-054-03,3,2,0,931.12500000000000000000,7,2
7268,13,55,1-13-2017-055-10,10,1,0,15216.00000000000000000000,7,2
7318,13,56,1-13-2017-056-02,2,1,6,201.62500000000000000000,7,2
7318,13,56,1-13-2017-056-02,2,2,0,201.62500000000000000000,7,2
7366,13,57,1-13-2017-057-07,7,1,0,3594.50000000000000000000,7,2
7367,13,58,1-13-2017-058-03,3,1,6,991.87500000000000000000,7,2
7367,13,58,1-13-2017-058-03,3,2,0,991.87500000000000000000,7,2
7368,13,59,1-13-2017-059-03,3,1,0,991.87500000000000000000,7,2
7447,13,60,1-13-2017-060-04,4,2,0,2291.00000000000000000000,7,2
7448,13,61,1-13-2017-061-05,5,1,0,111.71875000000000000000,7,2
7448,13,61,1-13-2017-061-05,5,2,0,111.71875000000000000000,7,2
7449,13,62,1-13-2017-062-06,6,1,0,1271.25000000000000000000,7,2
7547,13,63,1-13-2017-063-03,3,1,1,278.87500000000000000000,7,2
7547,13,63,1-13-2017-063-03,3,1,6,278.87500000000000000000,7,2
7547,13,63,1-13-2017-063-03,3,2,0,278.87500000000000000000,7,2
7548,13,64,1-13-2017-064-09,9,1,0,1604.75000000000000000000,7,2
7549,13,65,1-13-2017-065-04,4,1,0,974.62500000000000000000,7,2
7549,13,65,1-13-2017-065-04,4,2,0,974.62500000000000000000,7,2
7611,13,66,1-13-2017-066-05,5,2,0,101.75000000000000000000,7,2
7600,13,67,1-13-2017-067-05,5,2,0,101.75000000000000000000,7,2
7601,13,68,1-13-2017-068-04,4,2,0,2086.50000000000000000000,7,2
7670,13,69,1-13-2017-069-05,5,1,0,163.09375000000000000000,7,2
7671,13,70,1-13-2017-070-10,10,2,6,15640.00000000000000000000,7,2
7672,13,71,1-13-2017-071-03,3,1,0,957.00000000000000000000,7,2
7721,13,73,1-13-2017-073-02,2,2,0,63.25781250000000000000,7,2
7722,13,74,1-13-2017-074-02,2,1,0,63.25781250000000000000,7,2
7722,13,74,1-13-2017-074-02,2,2,7,63.25781250000000000000,7,2
7722,13,74,1-13-2017-074-02,2,3,0,63.25781250000000000000,7,2
7751,13,75,1-13-2017-075-04,4,1,0,2843.50000000000000000000,7,2
7785,13,76,1-13-2017-076-03,3,1,0,776.37500000000000000000,7,2
