CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
7367,13,58,1-13-2017-058-03,3,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,9285,991.88248213842200000000,7,2
7367,13,58,1-13-2017-058-03,3,2,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,840,991.88248213842200000000,7,2
7368,13,59,1-13-2017-059-03,3,1,1,2,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,5080,991.88248214289800000000,7,2
7447,13,60,1-13-2017-060-04,4,2,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,634,2291.22123220478000000000,7,2
7448,13,61,1-13-2017-061-05,5,2,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,111.72102148204900000000,7,2
7547,13,63,1-13-2017-063-03,3,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,1029,278.88438302446900000000,7,2
7611,13,66,1-13-2017-066-05,5,2,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,14758,101.76253564822100000000,7,2
7601,13,68,1-13-2017-068-04,4,2,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,2658,2086.98845774215000000000,7,2
7670,13,69,1-13-2017-069-05,5,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,15018,163.10554247397100000000,7,2
7721,13,73,1-13-2017-073-02,2,2,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,5646,63.26055253182290000000,7,2
7722,13,74,1-13-2017-074-02,2,1,1,2,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,63.26055253182290000000,7,2
7722,13,74,1-13-2017-074-02,2,3,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,3066,63.26055253182290000000,7,2
7751,13,75,1-13-2017-075-04,4,1,1,2,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,6428,2843.96092831067000000000,7,2
7785,13,76,1-13-2017-076-03,3,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,7037,776.49318465959000000000,7,2
7785,13,76,1-13-2017-076-03,3,2,1,1,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,6256,776.49318465959000000000,7,2
