CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTRUNO,INTCOMP,INTRUSION,INTMAG,INTDIRECT,CASEWGT,PSUSTRAT,VERSION,SEATLOC
7211,12,29,1-12-2017-029-09,9,1,1,7,17,3,1,3832.45356653444000000000,9,2,13
7211,12,29,1-12-2017-029-09,9,1,2,22,999,2,1,3832.45356653444000000000,9,2,13
7211,12,29,1-12-2017-029-09,9,1,3,19,999,2,1,3832.45356653444000000000,9,2,13
7211,12,29,1-12-2017-029-09,9,1,4,20,999,2,1,3832.45356653444000000000,9,2,13
7211,12,29,1-12-2017-029-09,9,1,5,22,999,1,1,3832.45356653444000000000,9,2,12
7211,12,29,1-12-2017-029-09,9,1,6,19,999,1,1,3832.45356653444000000000,9,2,12
7455,12,34,1-12-2017-034-04,4,2,1,16,22,3,3,3990.87077387485000000000,9,2,21
7674,12,40,1-12-2017-040-05,5,1,1,7,5,1,3,628.83294075430700000000,9,2,11
8002,12,51,1-12-2017-051-10,10,1,1,22,6,1,1,1132.14903654290000000000,9,2,12
8002,12,51,1-12-2017-051-10,10,1,2,22,1,0,1,1132.14903654290000000000,9,2,13
8002,12,51,1-12-2017-051-10,10,1,3,19,6,1,1,1132.14903654290000000000,9,2,12
8002,12,51,1-12-2017-051-10,10,1,4,19,9,2,1,1132.14903654290000000000,9,2,98
8002,12,51,1-12-2017-051-10,10,1,5,7,16,3,3,1132.14903654290000000000,9,2,11
8002,12,51,1-12-2017-051-10,10,1,6,17,999,1,3,1132.14903654290000000000,9,2,13
8002,12,51,1-12-2017-051-10,10,1,7,14,999,1,3,1132.14903654290000000000,9,2,23
8065,12,52,1-12-2017-052-03,3,1,1,16,31,4,3,798.33956135558200000000,9,2,13
8065,12,52,1-12-2017-052-03,3,1,2,8,32,4,3,798.33956135558200000000,9,2,13
8065,12,52,1-12-2017-052-03,3,1,3,5,4,1,1,798.33956135558200000000,9,2,13
8065,12,52,1-12-2017-052-03,3,1,4,14,36,4,3,798.33956135558200000000,9,2,23
8065,12,52,1-12-2017-052-03,3,1,5,7,999,2,3,798.33956135558200000000,9,2,13
8065,12,52,1-12-2017-052-03,3,1,6,12,999,2,3,798.33956135558200000000,9,2,13
8065,12,52,1-12-2017-052-03,3,1,7,6,999,4,3,798.33956135558200000000,9,2,13
8065,12,52,1-12-2017-052-03,3,1,8,20,999,3,3,798.33956135558200000000,9,2,13
8065,12,52,1-12-2017-052-03,3,1,9,20,999,4,3,798.33956135558200000000,9,2,23
8065,12,52,1-12-2017-052-03,3,1,10,6,999,4,3,798.33956135558200000000,9,2,23
8065,12,52,1-12-2017-052-03,3,1,11,9,999,2,3,798.33956135558200000000,9,2,23
8065,12,52,1-12-2017-052-03,3,1,12,24,999,9,3,798.33956135558200000000,9,2,12
8193,12,55,1-12-2017-055-05,5,1,1,16,7,1,3,385.57133132396900000000,9,2,11
8193,12,55,1-12-2017-055-05,5,1,2,8,3,1,3,385.57133132396900000000,9,2,21
8193,12,55,1-12-2017-055-05,5,1,3,7,12,2,3,385.57133132396900000000,9,2,13
8193,12,55,1-12-2017-055-05,5,1,4,7,2,0,3,385.57133132396900000000,9,2,11
8193,12,55,1-12-2017-055-05,5,1,5,20,999,1,3,385.57133132396900000000,9,2,11
8193,12,55,1-12-2017-055-05,5,1,6,20,999,1,3,385.57133132396900000000,9,2,21
8193,12,55,1-12-2017-055-05,5,1,7,15,999,1,3,385.57133132396900000000,9,2,21
8193,12,55,1-12-2017-055-05,5,1,8,12,999,1,3,385.57133132396900000000,9,2,11
8774,12,70,1-12-2017-070-01,1,1,1,7,46,5,3,473.93014835835700000000,9,2,11
8774,12,70,1-12-2017-070-01,1,1,2,16,46,5,3,473.93014835835700000000,9,2,11
8774,12,70,1-12-2017-070-01,1,1,3,1,999,2,2,473.93014835835700000000,9,2,11
8774,12,70,1-12-2017-070-01,1,1,4,8,46,5,3,473.93014835835700000000,9,2,11
8774,12,70,1-12-2017-070-01,1,1,5,2,999,2,2,473.93014835835700000000,9,2,11
8774,12,70,1-12-2017-070-01,1,1,6,14,39,4,3,473.93014835835700000000,9,2,21
8774,12,70,1-12-2017-070-01,1,1,7,4,999,1,2,473.93014835835700000000,9,2,13
8774,12,70,1-12-2017-070-01,1,1,8,16,15,3,3,473.93014835835700000000,9,2,12
8774,12,70,1-12-2017-070-01,1,1,9,8,19,3,3,473.93014835835700000000,9,2,12
8774,12,70,1-12-2017-070-01,1,1,10,20,999,4,3,473.93014835835700000000,9,2,11
8774,12,70,1-12-2017-070-01,1,1,11,20,999,3,3,473.93014835835700000000,9,2,21
8792,12,71,1-12-2017-071-02,2,1,1,22,14,2,1,595.88224788933300000000,9,2,12
8792,12,71,1-12-2017-071-02,2,1,2,22,4,1,1,595.88224788933300000000,9,2,11
8792,12,71,1-12-2017-071-02,2,1,3,22,1,0,1,595.88224788933300000000,9,2,13
8792,12,71,1-12-2017-071-02,2,1,4,7,16,3,3,595.88224788933300000000,9,2,11
8792,12,71,1-12-2017-071-02,2,1,5,7,30,4,3,595.88224788933300000000,9,2,13
8939,12,74,1-12-2017-074-06,6,1,1,17,3,1,3,419.20923822946600000000,9,2,21
8939,12,74,1-12-2017-074-06,6,1,2,32,2,0,3,419.20923822946600000000,9,2,98
6251,13,6,1-13-2017-006-03,3,1,1,5,15,3,2,803.97047188463400000000,7,2,13
6251,13,6,1-13-2017-006-03,3,1,2,12,29,3,3,803.97047188463400000000,7,2,13
6252,13,7,1-13-2017-007-02,2,2,1,17,5,1,3,62.50188682578690000000,7,2,21
6253,13,8,1-13-2017-008-01,1,1,1,2,22,3,2,188.95571273465500000000,7,2,11
6253,13,8,1-13-2017-008-01,1,1,2,3,14,2,2,188.95571273465500000000,7,2,12
6253,13,8,1-13-2017-008-01,1,1,3,4,10,2,2,188.95571273465500000000,7,2,13
6253,13,8,1-13-2017-008-01,1,1,4,1,20,3,2,188.95571273465500000000,7,2,11
6253,13,8,1-13-2017-008-01,1,1,5,7,20,3,2,188.95571273465500000000,7,2,11
6253,13,8,1-13-2017-008-01,1,1,6,96,999,8,8,188.95571273465500000000,7,2,88
6316,13,10,1-13-2017-010-01,1,1,1,2,43,4,2,333.15253105404000000000,7,2,11
6316,13,10,1-13-2017-010-01,1,1,2,3,27,3,2,333.15253105404000000000,7,2,12
6316,13,10,1-13-2017-010-01,1,1,3,4,13,2,2,333.15253105404000000000,7,2,13
6316,13,10,1-13-2017-010-01,1,1,4,5,44,4,2,333.15253105404000000000,7,2,11
6316,13,10,1-13-2017-010-01,1,1,5,5,48,5,2,333.15253105404000000000,7,2,13
6316,13,10,1-13-2017-010-01,1,1,6,5,60,5,2,333.15253105404000000000,7,2,12
6316,13,10,1-13-2017-010-01,1,1,7,1,42,4,2,333.15253105404000000000,7,2,11
6316,13,10,1-13-2017-010-01,1,1,8,6,21,3,3,333.15253105404000000000,7,2,11
6316,13,10,1-13-2017-010-01,1,1,9,7,29,3,3,333.15253105404000000000,7,2,11
6316,13,10,1-13-2017-010-01,1,1,10,12,999,3,3,333.15253105404000000000,7,2,11
6316,13,10,1-13-2017-010-01,1,1,11,29,999,2,1,333.15253105404000000000,7,2,11
6316,13,10,1-13-2017-010-01,1,1,12,15,999,3,3,333.15253105404000000000,7,2,11
6316,13,10,1-13-2017-010-01,1,2,1,2,33,4,2,333.15253105404000000000,7,2,11
