CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,SEATLOC,CASEWGT,PSUSTRAT,VERSION
8542,10,52,1-10-2017-052-06,6,1,4,23,186.43497383052800000000,4,2
8543,10,53,1-10-2017-053-05,5,1,1,11,23.44671876714130000000,4,2
8543,10,53,1-10-2017-053-05,5,2,1,11,23.44671876714130000000,4,2
8543,10,53,1-10-2017-053-05,5,2,2,13,23.44671876714130000000,4,2
8591,10,55,1-10-2017-055-03,3,2,1,11,96.12505643122980000000,4,2
8591,10,55,1-10-2017-055-03,3,2,2,11,96.12505643122980000000,4,2
8609,10,58,1-10-2017-058-09,9,1,1,11,104.64509913880700000000,4,2
8609,10,58,1-10-2017-058-09,9,1,2,13,104.64509913880700000000,4,2
8776,10,61,1-10-2017-061-04,4,1,1,11,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,1,3,11,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,1,5,11,36.09665610412430000000,4,2
